#sicily,b
1466,827
1468,827
1467,827
#a,a
1469,826
#b,bSouthernGaul
3544,230
3530,230
#a,a
3543,221
3541,221
3540,221
3517,221
2325,221
2323,221
2319,221
3523,221
3521,221
3542,221
3522,221
3518,221
3520,221
3529,221
#a,a
2318,220
2313,220
2312,220
2315,220
2314,220
2317,220
2316,220
#a,a
2260,212
2259,212
2256,212
#a,a
2257,211
1001,211
1060,211
#a,a
1079,213
2255,213
2258,213
#a,a
2321,222
2322,222
2320,222
2310,222
2309,222
#a,a
2324,229
3528,229
3524,229
3536,229
3534,229
3532,229
#a,a
2311,223
#a,a
3519,228
3527,228
3533,228
3531,228
3525,228
3526,228
2308,228
2307,228
2306,228
#a,a
2297,219
2285,219
2296,219
2286,219
#a,a
2295,218
3309,218
2268,218
2262,218
2261,218
#a,a
2263,214
2267,214
2265,214
2266,214
2278,214
2279,214
2270,214
2293,214
2326,214
2327,214
2338,214
2335,214
2269,214
2280,214
#a,a
2254,210
2253,210
#a,a
2276,209
2252,209
2251,209
2277,209
2249,209
2275,209
2273,209
2271,209
#a,a
2248,208
2246,208
2244,208
#a,a
2240,151
2239,151
#a,a
2238,150
2241,150
2242,150
2243,150
2247,150
2250,150
2274,150
#a,a
2272,215
2281,215
2288,215
#a,a
2245,149
2237,149
2235,149
2233,149
2236,149
#a,a
2234,143
2232,143
2229,143
2230,143
2226,143
#a,a
2289,216
2294,216
2292,216
2282,216
2287,216
#a,a
2329,147
2328,147
2340,147
2330,147
2331,147
2332,147
#a,a
2339,1966
2337,1966
3307,1966
#a,aMayBeExpanded
2290,148
2231,148
2291,148
#b,bNorthWestGaul
2333,144
2334,144
3000,144
2392,144
2389,144
2388,144
#a,a
2283,145
2341,145
2404,145
1721,145
2344,145
2343,145
2386,145
#a,a
1719,217
2342,217
2284,217
2298,217
#a,a
2299,224
2300,224
2370,224
2371,224
#a,a
2372,226
2366,226
2348,226
#a,a
2373,146
2375,146
2378,146
2380,146
2381,146
2376,146
2374,146
#a,a
2379,139
2383,139
2385,139
2384,139
2346,139
2382,139
2409,139
2377,139
2410,139
#a,a
2387,141
2345,141
2390,141
2391,141
2393,141
2228,141
#a,a
2225,142
2224,142
2227,142
2397,142
#a,a
2210,1957
#a,a
2211,1959
2398,1959
#a,a
2399,140
2396,140
2420,140
2395,140
#a,a
2419,110
2405,110
2406,110
2407,110
2422,110
2421,110
#a,a
2424,1965
2425,1965
#a,a
2423,109
2426,109
#a,a
2394,107
2349,107
2400,107
2402,107
2352,107
2403,107
#a,a
3308,106
2212,106
2153,106
#a,a
2209,105
2147,105
2148,105
2156,105
2149,105
#a,a
2154,104
2155,104
2152,104
#a,a
2151,103
#a,a
2160,1936
2158,1936
#a,a
2150,1937
2159,1937
#a,a
2157,102
2141,102
2142,102
2146,102
#a,a
2143,101
2145,101
2215,101
2144,101
#a,a
2217,108
2214,108
2351,108
2459,108
2401,108
2456,108
#a,a
2140,100
2137,100
2135,100
2134,100
5431,100
#a,a
2216,1956
2139,1956
2136,1956
2138,1956
2220,1956
#a,a
2221,99
2219,99
2464,99
2466,99
2467,99
2223,99
2218,99
2222,99
#a,a
2461,1958
2463,1958
2460,1958
2458,1958
#a,a
#b,bCrete
368,479
367,479
370,479
351,479
372,479
#a,a
358,480
361,480
359,480
355,480
344,480
#b,bRhodes
266,483
280,483
#b,bGreece
471,478
429,478
450,478
7892,478
430,478
427,478
7889,478
473,478
#a,a
431,477
432,477
433,477
436,477
#a,a
435,476
439,476
446,476
7890,476
434,476
449,476
438,476
448,476
444,476
7893,476
#a,a
7891,481
440,481
441,481
7903,481
451,481
7895,481
7894,481
418,481
#a,a
417,482
7800,482
7897,482
416,482
7799,482
7898,482
413,482
7802,482
#a,a
461,474
#a,a
460,1889
#a,a
468,475
423,475
406,475
402,475
7896,475
399,475
475,475
7798,475
424,475
#a,a7801MayBeWasteland
458,1881
457,1881
456,1881
401,1881
#a,a
7803,473
462,473
466,473
465,473
425,473
464,473
463,473
#a,a
469,489
394,489
395,489
396,489
389,489
388,489
404,489
400,489
#a,a
408,1887
411,1887
405,1887
393,1887
#a,a
412,471
3356,471
3125,471
#a,a
3175,1883
#a,a
419,472
476,472
421,472
474,472
#a,a
470,1890
#a,a
467,1886
3192,1886
1445,1886
#a,a
422,470
455,470
415,470
2264,470
#a,a
384,490
385,490
379,490
383,490
382,490
381,490
428,490
380,490
#a,aMayBeExpanded
392,488
390,488
391,488
398,488
#a,a
442,485
7902,485
472,485
443,485
437,485
447,485
1835,485
452,485
1903,485
#a,a
1964,484
7905,484
1915,484
454,484
1996,484
375,484
387,484
263,484
#a,a
376,491
378,491
377,491
374,491
373,491
#a,a
366,1882
386,1882
371,1882
369,1882
365,1882
#a,a
364,1885
363,1885
356,1885
362,1885
494,1885
#a,a
497,492
4302,492
4153,492
498,492
4306,492
#a,a
397,1888
4303,1888
4304,1888
4305,1888
4152,1888
4117,1888
4108,1888
4096,1888
397,1888
#Ireland,b
2177,14
2161,14
2163,14
#a,a
2162,15
2182,15
2178,15
2181,15
#a,a
2186,12
2187,12
#a,a
2188,16
2189,16
2165,16
#a,a
2190,11
#a,a
2193,1951
2168,1951
#a,a
2195,7
2170,7
2172,7
#a,a
2208,5
2173,5
2207,5
#a,a
2174,4
2206,4
2205,4
#a,a
2203,3
2204,3
2175,3
#a,a
2202,8
2171,8
2196,8
#a,a
2197,1954
2199,1954
2198,1954
#a,a
2201,1952
2194,1952
#a,a
2200,9
2169,9
#a,a
2184,1955
#a,a
2191,10
2167,10
#a,a
2192,1953
2164,1953
2185,1953
#a,a
2166,13
2183,13
2180,13
#a,a
2179,1938
2176,1938
#b,bMann
2108,54
#b,bEnglandAndWales
2000,31
2002,31
#a,a
2001,29
2004,29
2003,29
2006,29
#a,a
2005,28
2008,28
#a,a
2007,27
2010,27
#a,a
2009,1944
#a,a
2011,26
2015,26
2016,26
2013,26
#a,a
2014,1950
#a,a
2017,25
2019,25
#a,a
2020,73
2021,73
2023,73
#a,a
2018,24
#a,a
2022,32
2027,32
#a,a
2038,72
2028,72
2030,72
2029,72
#a,a
2034,71
2035,71
2036,71
2033,71
2032,71
#a,a
2031,70
2037,70
#a,a
2063,61
2057,61
2068,61
3057,61
#a,a
2075,1941
2076,1941
#a,a
2052,68
2053,68
2044,68
2051,68
#a,a
2042,69
2043,69
#a,a
2026,22
2041,22
2045,22
2061,22
#a,a
2025,23
2012,23
#a,a
2024,21
2039,21
2040,21
2049,21
#a,a
2092,20
#a,a
2093,19
#a,a
2094,1946
#a,a
2095,18
2099,18
#a,a
2096,1948
2103,1948
#a,a
2104,64
#a,a
2105,1949
#a,a
2106,60
#a,a
2107,65
2102,65
2101,65
#a,a
2100,1947
#a,a
2097,1945
#a,a
2098,17
2050,17
#a,a
2060,66
2059,66
2046,66
#a,a
2048,30
2056,30
#a,a
2055,67
2054,67
#a,a
2065,62
2062,62
2058,62
#a,a
2047,59
2064,59
2070,59
#a,a
2071,58
2072,58
2073,58
2080,58
2081,58
#a,a
2082,53
2083,53
#a,a
2084,55
5432,55
#a,a
2088,1943
2074,1943
#a,a
3058,1942
2069,1942
2067,1942
#a,a
5434,63
5433,63
2066,63
#a,a
2077,57
2078,57
2079,57
#a,a
3059,56
2085,56
2087,56
#a,a
3060,52
2086,52
2089,52
#a,a
2090,1940
#b,bScotland
2111,51
#a,a
2114,48
#a,a
2115,46
#a,a
2133,43
7740,43
#a,a
2116,41
2125,41
#a,a
2123,40
2120,40
2118,40
#a,a
7739,39
2121,39
2119,39
#a,a
2131,37
2122,37
#a,a
2132,36
#a,a
2128,35
2129,35
2130,35
#a,a
2127,1939
#a,aMayNeedTweaking
6311,45
2117,45
#a,a
2124,47
#a,a
2112,49
#a,a
2109,50
2110,50
#a,a
2091,38
2113,38
#b,bCyprus
6431,756
334,756
333,756
338,756
336,756
#a,a
332,757
331,757
330,757
6433,757
335,757
#b,bCyrenaeca
3344,808
3346,808
3347,808
3348,808
3349,808
3350,808
3351,808
3352,808
3353,808
3357,808
3354,808
#a,a
3359,806
3358,806
3360,806
3362,806
3361,806
3363,806
3364,806
3365,806
3366,806
#a,a
3367,805
3368,805
3369,805
3370,805
3371,805
3372,805
#a,a
3373,804
3374,804
3375,804
#b,bEgypt
3376,2005
3377,2005
3378,2005
3379,2005
3380,2005
3476,2005
3477,2005
5556,2005
5553,2005
5552,2005
#a,a
3478,802
445,802
453,802
516,802
#a,a
529,799
530,799
532,799
531,799
517,799
515,799
527,799
#a,a
7691,798
518,798
519,798
520,798
533,798
523,798
521,798
522,798
#a,a
7690,789
508,789
510,789
7688,789
#a,aMayBeChanged
525,790
511,790
655,790
503,790
7668,790
507,790
501,790
#a,a
524,797
534,797
7689,797
504,797
513,797
526,797
528,797
#a,a
514,2004
512,2004
5549,2004
#a,a
536,796
500,796
537,796
538,796
543,796
542,796
546,796
#a,a
548,2002
551,2002
553,2002
556,2002
#a,a
541,800
539,800
540,800
5547,800
5546,800
544,800
#a,aMayBeExpanded
550,2001
547,2001
5533,2001
545,2001
5532,2001
5548,2001
#a,a
502,2006
505,2006
#a,a
#b,bThrace
414,493
4310,493
492,1884
360,1884
357,1884
354,1884
1774,1884
#a,a
349,495
350,495
347,495
352,495
#a,a
346,496
345,496
1453,496
341,496
#a,a
342,497
343,497
495,497
4314,497
348,497
4154,497
#a,a
353,494
489,494
491,494
4309,494
493,494
490,494
#a,a
#b,bIllryia
2213,469
2336,469
4090,469
4089,469
1144,469
4092,469
4094,469
#a,a
4091,1972
4087,1972
4088,1972
4086,1972
#a,a
4085,468
4083,468
4082,468
#a,a
4018,458
4019,458
4020,458
4021,458
4022,458
#a,a
4023,459
4032,459
4034,459
4033,459
4036,459
4044,459
4045,459
#a,a
4035,464
4042,464
4046,464
#a,a
4052,465
4049,465
4051,465
4055,465
4053,465
4054,465
#a,a
4056,467
4058,467
4060,467
4059,467
4057,467
4057,467
#a,a
4062,466
4063,466
4066,466
4081,466
4084,466
#a,a
#Anatolia
240,741
242,741
241,741
239,741
234,741
236,741
235,741
#a,a
238,740
233,740
237,740
207,740
326,740
#a,a
243,750
246,750
245,750
247,750
323,750
322,750
327,750
7765,750
325,750
324,750
244,750
#a,a
248,742
250,742
271,742
320,742
321,742
249,742
303,742
306,742
304,742
273,742
#a,a
252,743
254,743
253,743
251,743
269,743
337,743
272,743
276,743
#a,a
255,744
256,744
261,744
257,744
258,744
259,744
281,744
265,744
264,744
262,744
268,744
260,744
267,744
#a,a
282,745
279,745
285,745
287,745
296,745
298,745
278,745
275,745
299,745
#a,a
274,1935
305,1935
301,1935
307,1935
300,1935
293,1935
292,1935
#a,a
295,746
294,746
291,746
288,746
289,746
290,746
1969,746
1966,746
1968,746
1973,746
1972,746
1974,746
#a,a
1653,747
1970,747
1981,747
1977,747
1967,747
1963,747
1956,747
1957,747
1997,747
1989,747
1987,747
1985,747
1984,747
1980,747
1992,747
1990,747
1960,747
171,747
159,747
1991,747
1995,747
1993,747
1998,747
156,747
160,747
161,747
162,747
164,747
#a,a
1953,748
1952,748
1962,748
1948,748
1947,748
308,748
#a,a
1958,754
1959,754
1935,754
1943,754
1945,754
1946,754
1944,754
311,754
#a,a
1961,755
1986,755
170,755
165,755
1910,755
1911,755
1921,755
1885,755
168,755
166,755
167,755
1988,755
#a,a
1905,758
1904,758
1901,758
1890,758
1892,758
1894,758
1896,758
1780,758
1784,758
1906,758
1908,758
#a,aMayBeShifted
1887,761
1883,761
1872,761
1889,761
1881,761
#a,a
1879,762
1880,762
1884,762
1877,762
1882,762
#a,a
1931,1932
1949,1932
1933,1932
7760,1932
1930,1932
1936,1932
1942,1932
339,1932
309,1932
187,1932
186,1932
1941,1932
1937,1932
1930,1932
#a,a
302,749
312,749
319,749
317,749
318,749
315,749
185,749
#a,a
286,486
#a,a
283,487
284,487
277,487
420,487
270,487
297,487
#a,a
#b,bEasternIberia
1000,205
1002,205
1054,205
1008,205
1005,205
1059,205
1058,205
#a,a
1056,203
1057,203
1010,203
#a,a
1061,204
1009,204
1053,204
1052,204
1055,204
1007,204
1006,204
1004,204
1003,204
#a,a
#b,bSinai
509,788
535,788
1604,788
1600,788
#a,a
1709,785
1710,785
1684,785
1708,785
1693,785
1682,785
1675,785
#a,a
1688,786
704,786
705,786
703,786
708,786
699,786
707,786
706,786
#a,a
702,787
698,787
696,787
697,787
701,787
656,787
657,787
658,787
#a,a
#b,bLevant
#v,vHeavy Distortions, mapping may need a rework
659,781
660,781
693,781
695,781
694,781
700,781
#a,a
709,782
710,782
729,782
#a,a
681,778
731,778
#a,a
712,777
717,777
716,777
714,777
#a,a
718,723
721,723
#a,aJerusalem
713,774
715,774
683,774
684,774
687,774
719,774
676,774
673,774
#a,a
711,779
692,779
#a,a
688,776
691,776
689,776
686,776
#a,a
690,780
661,780
662,780
663,780
685,780
682,780
#a,a
664,775
665,775
679,775
680,775
678,775
667,775
668,775
671,775
672,775
669,775
666,775
#a,a
670,772
744,772
745,772
648,772
677,772
674,772
#a,a
723,773
733,773
722,773
675,773
720,773
#a,aMislabeled734
737,725
734,725
#a,a
742,771
741,771
747,771
746,771
743,771
#a,a
748,770
749,770
752,770
765,770
766,770
#a,a
763,767
768,767
767,767
769,767
779,767
771,767
762,767
772,767
778,767
#a,a
780,766
783,766
785,766
786,766
784,766
#a,a
788,764
789,764
790,764
#a,aMayBeChanged
792,763
1871,763
795,763
796,763
#a,a
1874,735
1875,735
1870,735
1873,735
1876,735
1878,735
#a,a
#CentralGaul
2304,227
2305,227
2303,227
2301,227
2302,227
2364,227
2356,227
2357,227
3622,227
#a,a
2369,225
#a,a
2358,1614
3626,1614
3627,1614
#a,a
2365,240
2360,240
#a,a
2359,1615
2362,1615
#a,a
2363,135
2361,135
2355,135
#a,a
3010,1608
#a,a
2427,1609
2429,1609
2428,1609
#a,a
2354,136
3005,136
2433,136
2436,136
2435,136
2437,136
2440,136
2431,136
2439,136
2438,136
#a,a
2367,137
2434,137
2412,137
2413,137
#a,a
2368,1960
2347,1960
2411,1960
2414,1960
2416,1960
#a,a
2417,132
2415,132
2418,132
2353,132
2432,132
2430,132
#a,a
2488,130
2449,130
3006,130
3008,130
2489,130
2486,130
#a,a
2448,131
2482,131
2480,131
2479,131
2481,131
#a,a
2408,138
2350,138
2478,138
#a,a
2457,111
2441,111
2462,111
#a,a
2442,112
2477,112
2476,112
2475,112
2483,112
#a,a
2474,1963
2444,1963
2472,1963
#a,a
2473,1961
2469,1961
3034,1961
2446,1961
#a,a
2443,98
#a,a
2470,97
2468,97
#a,a
2471,96
#a,a
3033,1962
3037,1962
3036,1962
#a,a
3035,95
3032,95
2445,95
2493,95
#a,a
3039,75
3027,75
3026,75
#a,a
3029,74
#a,a
3030,77
3040,77
3038,77
#a,a
3044,113
3045,113
3043,113
3047,113
3048,113
#a,a
2452,1964
2447,1964
2484,1964
2485,1964
2492,1964
2487,1964
2491,1964
2490,1964
#a,a
3051,114
2451,114
3049,114
2450,114
2495,114
3050,114
#a,a
#b,bAlps
3621,237
3539,237
3538,237
3537,237
3608,237
3609,237
3610,237
#a,a
3611,1610
3612,1610
#a,a
3620,238
3613,238
3615,238
#a,a
3616,246
3617,246
3618,246
3619,246
#a,a
3657,247
3656,247
3655,247
3654,247
#a,a
3658,316
3659,316
3660,316
3663,316
3665,316
3666,316
#a,a
3664,359
3668,359
3669,359
3667,359
3670,359
#a,a
3614,244
3630,244
3631,244
#a,a
3629,1611
3625,1611
#a,a
3624,239
3623,239
#a,a
3628,241
#a,a
#b,bBlackSeaCoast
482,498
4312,498
4307,498
4258,498
4247,498
480,498
481,498
#a,a
4248,509
4249,509
4250,509
4254,509
4255,509
4257,509
4256,509
4251,509
4253,509
4252,509
4246,509
4243,509
4242,509
4241,509
#a,a
479,508
4245,508
4259,508
4240,508
4239,508
#a,a
496,499
4313,499
484,499
478,499
486,499
4311,499
485,499
487,499
#a,a
488,500
3853,500
4097,500
499,500
477,500
4230,500
4116,500
4115,500
4222,500
#a,a
4244,507
4238,507
4237,507
4236,507
4233,507
4231,507
4227,507
4232,507
4234,507
4229,507
4228,507
4226,507
4224,507
4225,507
4223,507
4221,507
4217,507
4220,507
#a,a
4512,510
4513,510
4516,510
4519,510
4520,510
4517,510
4515,510
4512,510
4514,510
4518,510
#a,a
4521,1640
4522,1640
4919,1640
4800,1640
4922,1640
4921,1640
1640,1640
#a,a
4523,512
4524,512
4525,512
4918,512
4920,512
4917,512
4916,512
4928,512
#a,a
4526,1646
4527,1646
4528,1646
7186,1646
7195,1646
7194,1646
7189,1646
7185,1646
#a,aGloriousOlbia
4529,542
7187,542
6100,542
6098,542
6097,542
#a,a
4530,558
4531,558
4532,558
7190,558
4551,558
6124,558
7192,558
4552,558
#a,a
4533,559
4535,559
4534,559
4536,559
4547,559
4545,559
4546,559
4548,559
#a,a
4542,560
4537,560
4538,560
4539,560
4540,560
4541,560
#a,a
4543,561
4544,561
#a,a
4550,562
4549,562
#a,a
4553,557
7193,557
6149,557
6148,557
6152,557
6143,557
6144,557
6147,557
6146,557
6147,557
#a,a
4554,563
4555,563
6163,563
6164,563
6159,563
6158,563
6151,563
6156,563
6153,563
6154,563
6155,563
6157,563
#a,a
7188,543
7191,543
6118,543
6123,543
6141,543
6145,543
6142,543
6139,543
6129,543
6122,543
6119,543
6102,543
#a,a
#b,bDacia
4807,1642
4808,1642
4806,1642
4812,1642
4813,1642
4809,1642
4811,1642
#a,a
4810,514
4816,514
4818,514
4820,514
4817,514
#a,a
4266,1643
4267,1643
4276,1643
4277,1643
4278,1643
4270,1643
4268,1643
4269,1643
4271,1643
4279,1643
#a,a
4815,515
4814,515
4824,515
4805,515
#a,a
4803,513
4825,513
4913,513
#a,a
4804,511
4802,511
4801,511
4924,511
4923,511
4925,511
4931,511
4932,511
#a,a
#b,bCarpathia
4911,540
4294,540
4293,540
4292,540
4500,540
4909,540
4910,540
4501,540
4299,540
4298,540
4503,540
4502,540
4504,540
4505,540
4297,540
4506,540
4507,540
#a,a
4281,519
4295,519
4296,519
4291,519
4289,519
4290,519
4288,519
4285,519
4284,519
4286,519
4287,519
#a,a
4830,1645
4282,1645
4283,1645
4274,1645
4275,1645
4211,1645
4210,1645
#a,a
4262,516
4264,516
4261,516
4829,516
4828,516
4827,516
4260,516
#a,a
4838,517
4839,517
4836,517
4837,517
4841,517
4834,517
4835,517
4832,517
4833,517
4831,517
#a,a
4826,505
4190,505
4193,505
4196,505
4124,505
4197,505
4198,505
4195,505
4199,505
4205,505
4200,505
#a,a
4263,506
4207,506
4201,506
4204,506
4203,506
4202,506
4213,506
4212,506
4208,506
4209,506
4214,506
4215,506
4216,506
4218,506
#a,a
4280,1644
4273,1644
4272,1644
4822,1644
4821,1644
4823,1644
4819,1644
#a,a
4219,501
4112,501
4110,501
4109,501
4111,501
4118,501
4114,501
4113,501
#a,a
4120,502
4119,502
4101,502
4100,502
4093,502
4095,502
4099,502
4098,502
#a,a
4206,503
4122,503
4121,503
4106,503
4127,503
4125,503
4123,503
#a,a
4103,1973
4102,1973
4105,1973
4104,1973
#a,a
4107,1967
4080,1967
4067,1967
4064,1967
4069,1967
4065,1967
#a,a
4079,1971
4078,1971
4068,1971
#a,a
4070,463
4071,463
4072,463
4073,463
4043,463
4061,463
#a,a
4041,461
4040,461
4038,461
4177,461
4181,461
4180,461
#a,a
4176,1691
4039,1691
4175,1691
4137,1691
#a,a
4028,457
4027,457
4024,457
#a,a
4029,456
4025,456
#a,a
3671,1689
4047,1689
3672,1689
3674,1689
3673,1689
#a,aMayBeChanged
3668,359
3669,359
3667,359
3664,359
#a,a
4048,1696
4030,1696
4136,1696
#a,a
4134,1692
4031,1692
4143,1692
#a,a
4135,455
#a,a
4131,1690
3650,1690
3652,1690
3651,1690
#a,aMayBeExpanded
3653,1699
#a,aVienna
3918,449
4145,449
#a,a
4144,1694
4142,1694
#a,a
4141,1693
4133,1693
4140,1693
#a,a
4182,460
4173,460
4174,460
#a,a
4172,462
4179,462
4178,462
#a,a
4184,1969
4183,1969
4185,1969
4170,1969
#a,a
4074,1970
4075,1970
4077,1970
4076,1970
4186,1970
4129,1970
#a,a
4128,504
4130,504
4126,504
4194,504
4189,504
4192,504
4191,504
#a,a
4842,1968
4843,1968
4188,1968
#a,a
4846,518
4845,518
4844,518
4848,518
4847,518
#a,a
4171,452
4169,452
4168,452
4164,452
4162,452
4161,452
#a,a
4160,453
4148,453
4163,453
4166,453
4167,453
#a,a
4165,454
4132,454
4138,454
4139,454
4151,454
#a,a
4146,450
4150,450
4147,450
#a,a
4149,451
4155,451
4156,451
4157,451
4158,451
4159,451
#a,a
4855,522
4852,522
4854,522
4853,522
4877,522
#a,a
4849,521
4850,521
4857,521
4858,521
4851,521
4856,521
4840,521
#a,a
4881,520
4859,520
4860,520
4861,520
4510,520
4511,520
4508,520
4509,520
4882,520
4883,520
#a,a
#b,bSlovakia
4906,539
4907,539
4908,539
4905,539
#a,a
4885,537
4927,537
#a,a
4884,523
4880,523
4876,523
4875,523
#a,a
4874,444
4867,444
4868,444
3927,444
#a,a
3919,445
3925,445
3924,445
#a,a
4869,443
4872,443
4871,443
#a,a
4866,442
#a,a
4870,524
4873,524
#a,a
4892,525
#a,a
4888,538
4878,538
4879,538
#a,a
4886,533
4926,533
4889,533
#a,a
#b,bScandinavia


